Username: bugbox_c#
action_type,timestamp,slide,x,y
Next,2017-01-27 13:59:40.114,0
Mark,2017-01-27 13:59:48.842,1,951,387
Mark,2017-01-27 13:59:51.509,1,961,401
Next,2017-01-27 14:00:01.425,1
Next,2017-01-27 14:00:04.316,2
Mark,2017-01-27 14:00:07.889,3,978,454
Mark,2017-01-27 14:00:09.193,3,989,467
Next,2017-01-27 14:00:15.729,3
Next,2017-01-27 14:00:18.299,4
Mark,2017-01-27 14:00:29.341,5,671,387
Mark,2017-01-27 14:00:30.406,5,678,394
Next,2017-01-27 14:00:32.225,5
Next,2017-01-27 14:00:35.729,6
Mark,2017-01-27 14:00:43.755,7,641,258
Mark,2017-01-27 14:00:45.69,7,649,265
Mark,2017-01-27 14:00:52.425,7,709,415
Mark,2017-01-27 14:00:58.012,7,758,422
Mark,2017-01-27 14:01:09.242,7,811,571
Mark,2017-01-27 14:01:12.361,7,835,579
Next,2017-01-27 14:01:18.857,7
Next,2017-01-27 14:01:23.274,8
Mark,2017-01-27 14:01:30.433,9,572,191
Mark,2017-01-27 14:01:32.081,9,580,199
Mark,2017-01-27 14:01:38.745,9,649,295
Mark,2017-01-27 14:01:40.227,9,663,304
Mark,2017-01-27 14:17:18.676,9,626,448
Mark,2017-01-27 14:17:20.058,9,638,454
Mark,2017-01-27 14:17:29.346,9,741,449
Mark,2017-01-27 14:17:30.786,9,756,457
Mark,2017-01-27 14:17:33.962,9,868,447
Mark,2017-01-27 14:17:35.01,9,878,456
Next,2017-01-27 14:18:54.554,9
Next,2017-01-27 14:18:57.029,10
Mark,2017-01-27 14:19:23.34,11,1049,296
Mark,2017-01-27 14:19:25.194,11,1057,304
Mark,2017-01-27 14:19:37.532,11,916,398
Mark,2017-01-27 14:19:38.522,11,949,404
Mark,2017-01-27 14:19:40.778,11,740,573
Mark,2017-01-27 14:19:41.794,11,766,578
Next,2017-01-27 14:19:43.282,11
Next,2017-01-27 14:19:44.962,12
Mark,2017-01-27 14:19:56.838,13,657,317
Mark,2017-01-27 14:19:57.851,13,666,324
Mark,2017-01-27 14:20:12.363,13,707,421
Mark,2017-01-27 14:20:14.674,13,790,428
Mark,2017-01-27 14:20:25.674,13,724,508
Mark,2017-01-27 14:20:26.794,13,732,512
Next,2017-01-27 14:20:32.611,13
Next,2017-01-27 14:20:36.578,14
Mark,2017-01-27 14:20:55.924,15,449,137
Mark,2017-01-27 14:20:57.05,15,485,146
Mark,2017-01-27 14:21:19.997,15,447,184
Mark,2017-01-27 14:21:21.642,15,486,197
Mark,2017-01-27 14:21:47.675,15,979,312
Mark,2017-01-27 14:21:48.634,15,991,321
Next,2017-01-27 14:21:55.602,15
Next,2017-01-27 14:21:56.322,16
Mark,2017-01-27 14:22:02.082,17,624,167
Mark,2017-01-27 14:22:03.234,17,632,172
Mark,2017-01-27 14:22:13.879,17,791,410
Mark,2017-01-27 14:22:14.837,17,798,416
Mark,2017-01-27 14:22:22.57,17,775,539
Mark,2017-01-27 14:22:23.612,17,787,545
Next,2017-01-27 14:22:25.647,17
Next,2017-01-27 14:22:27.162,18
Mark,2017-01-27 14:22:32.866,19,420,276
Mark,2017-01-27 14:22:34.226,19,482,287
Mark,2017-01-27 14:22:48.322,19,694,359
Mark,2017-01-27 14:22:49.37,19,712,369
Mark,2017-01-27 14:23:34.034,19,904,440
Mark,2017-01-27 14:23:35.147,19,926,453
Next,2017-01-27 14:23:45.474,19
Next,2017-01-27 14:23:48.258,20
Mark,2017-01-27 14:24:00.702,21,401,154
Mark,2017-01-27 14:24:02.674,21,435,168
Mark,2017-01-27 14:24:09.018,21,683,332
Mark,2017-01-27 14:24:10.362,21,692,339
Mark,2017-01-27 14:24:15.786,21,454,506
Mark,2017-01-27 14:24:16.422,21,460,512
Next,2017-01-27 14:24:18.178,21
Next,2017-01-27 14:24:21.066,22
Mark,2017-01-27 14:24:28.05,23,480,182
Mark,2017-01-27 14:24:29.684,23,509,188
Mark,2017-01-27 14:24:40.684,23,805,422
Mark,2017-01-27 14:24:41.514,23,812,429
Mark,2017-01-27 14:24:46.589,23,644,529
Mark,2017-01-27 14:24:48.034,23,660,540
Next,2017-01-27 14:24:48.916,23
