Username: bugbox_c++
action_type,timestamp,slide,x,y
Next,2017-01-27 12:49:11.798,0
Mark,2017-01-27 12:49:26.142,1,736,201
Mark,2017-01-27 12:49:33.134,1,742,212
Next,2017-01-27 12:49:39.23,1
Next,2017-01-27 12:49:44.494,2
Mark,2017-01-27 12:53:53.714,3,1003,445
Mark,2017-01-27 12:53:56.134,3,1013,462
Next,2017-01-27 12:53:57.702,3
Next,2017-01-27 12:54:00.35,4
Mark,2017-01-27 12:54:24.863,5,798,400
Mark,2017-01-27 12:54:27.326,5,803,406
Next,2017-01-27 12:54:33.526,5
Next,2017-01-27 12:54:34.398,6
Mark,2017-01-27 12:54:53.958,7,630,219
Mark,2017-01-27 12:54:55.55,7,640,228
Mark,2017-01-27 12:55:08.238,7,699,379
Mark,2017-01-27 12:55:10.502,7,762,388
Mark,2017-01-27 12:55:23.713,7,782,540
Mark,2017-01-27 12:55:25.222,7,807,551
Next,2017-01-27 12:55:32.678,7
Next,2017-01-27 12:55:33.494,8
Mark,2017-01-27 12:55:51.653,9,584,237
Mark,2017-01-27 12:55:53.436,9,593,245
Mark,2017-01-27 12:56:07.871,9,645,324
Mark,2017-01-27 12:56:08.862,9,661,333
Mark,2017-01-27 12:56:15.534,9,591,456
Mark,2017-01-27 12:56:21.863,9,662,465
Next,2017-01-27 12:56:29.55,9
Next,2017-01-27 12:56:49.121,10
Mark,2017-01-27 12:59:06.038,11,990,354
Mark,2017-01-27 12:59:08.806,11,1074,362
Mark,2017-01-27 12:59:15.966,11,672,439
Mark,2017-01-27 12:59:17.95,11,714,451
Mark,2017-01-27 13:00:16.494,11,524,557
Mark,2017-01-27 13:00:17.566,11,553,569
Next,2017-01-27 13:00:18.558,11
Next,2017-01-27 13:00:22.436,12
Mark,2017-01-27 13:00:33.609,13,567,67
Mark,2017-01-27 13:00:34.663,13,579,76
Mark,2017-01-27 13:00:55.59,13,643,457
Mark,2017-01-27 13:00:57.094,13,652,465
Mark,2017-01-27 13:01:19.638,13,610,570
Mark,2017-01-27 13:01:24.958,13,720,579
Next,2017-01-27 13:01:36.678,13
Next,2017-01-27 13:03:16.294,14
Mark,2017-01-27 13:03:26.07,15,475,123
Mark,2017-01-27 13:03:31.222,15,516,129
Mark,2017-01-27 13:03:36.974,15,473,213
Mark,2017-01-27 13:03:39.286,15,518,220
Mark,2017-01-27 13:04:04.031,15,956,322
Mark,2017-01-27 13:04:05.146,15,966,332
Next,2017-01-27 13:04:07.686,15
Next,2017-01-27 13:04:08.766,16
Mark,2017-01-27 13:04:22.686,17,648,218
Mark,2017-01-27 13:04:25.19,17,656,224
Mark,2017-01-27 13:04:40.606,17,741,429
Mark,2017-01-27 13:04:41.47,17,749,436
Mark,2017-01-27 13:04:52.342,17,725,542
Mark,2017-01-27 13:04:53.918,17,748,550
Next,2017-01-27 13:04:57.752,17
Next,2017-01-27 13:04:58.982,18
Mark,2017-01-27 13:05:05.655,19,425,226
Mark,2017-01-27 13:05:07.006,19,500,242
Mark,2017-01-27 13:05:16.92,19,587,350
Mark,2017-01-27 13:05:18.12,19,606,363
Mark,2017-01-27 13:05:27.361,19,905,430
Mark,2017-01-27 13:05:29.102,19,913,441
Next,2017-01-27 13:05:51.185,19
Next,2017-01-27 13:05:51.958,20
Mark,2017-01-27 13:05:55.671,21,578,162
Mark,2017-01-27 13:05:57.254,21,611,174
Mark,2017-01-27 13:06:05.606,21,819,363
Mark,2017-01-27 13:06:06.974,21,828,369
Mark,2017-01-27 13:06:14.174,21,624,514
Mark,2017-01-27 13:06:15.919,21,630,518
Next,2017-01-27 13:06:18.19,21
Next,2017-01-27 13:06:36.75,22
Mark,2017-01-27 13:06:45.302,23,461,176
Mark,2017-01-27 13:06:46.601,23,493,186
Mark,2017-01-27 13:07:04.435,23,812,386
Mark,2017-01-27 13:07:06.294,23,825,393
Mark,2017-01-27 13:07:21.926,23,642,498
Mark,2017-01-27 13:07:25.494,23,674,508
Next,2017-01-27 13:07:27.902,23
