Username: bugbox_java
action_type,timestamp,slide,x,y
Next,2017-01-27 15:34:37.739,0
Mark,2017-01-27 15:34:46.862,1,588,306
Mark,2017-01-27 15:34:49.424,1,595,315
Next,2017-01-27 15:34:51.643,1
Next,2017-01-27 15:34:52.859,2
Mark,2017-01-27 15:35:01.694,3,893,508
Mark,2017-01-27 15:35:02.46,3,901,516
Next,2017-01-27 15:35:03.757,3
Next,2017-01-27 15:35:04.512,4
Mark,2017-01-27 15:35:07.614,5,662,474
Mark,2017-01-27 15:35:08.213,5,669,483
Next,2017-01-27 15:35:09.262,5
Next,2017-01-27 15:35:09.91,6
Mark,2017-01-27 15:35:14.453,7,579,297
Mark,2017-01-27 15:35:15.096,7,585,302
Mark,2017-01-27 15:35:18.51,7,639,439
Mark,2017-01-27 15:35:19.694,7,679,442
Mark,2017-01-27 15:35:24.478,7,792,576
Mark,2017-01-27 15:35:25.694,7,807,585
Next,2017-01-27 15:35:28.207,7
Next,2017-01-27 15:35:30.374,8
Mark,2017-01-27 15:35:34.421,9,558,270
Mark,2017-01-27 15:35:34.975,9,563,274
Mark,2017-01-27 15:35:43.102,9,693,354
Mark,2017-01-27 15:35:44.079,9,701,361
Mark,2017-01-27 15:35:51.024,9,619,486
Mark,2017-01-27 15:35:52.03,9,631,491
Next,2017-01-27 15:35:56.461,9
Next,2017-01-27 15:35:59.789,10
Mark,2017-01-27 15:36:06.159,11,998,408
Mark,2017-01-27 15:36:08.017,11,1006,414
Mark,2017-01-27 15:36:13.342,11,847,487
Mark,2017-01-27 15:36:14.653,11,883,500
Mark,2017-01-27 15:36:16.286,11,710,598
Mark,2017-01-27 15:36:17.478,11,735,609
Next,2017-01-27 15:36:19.552,11
Next,2017-01-27 15:36:20.326,12
Mark,2017-01-27 15:36:26.894,13,653,337
Mark,2017-01-27 15:36:28.157,13,661,344
Mark,2017-01-27 15:36:32.482,13,711,441
Mark,2017-01-27 15:36:35.529,13,793,447
Mark,2017-01-27 15:36:39.534,13,693,510
Mark,2017-01-27 15:36:40.246,13,703,519
Next,2017-01-27 15:36:41.557,13
Next,2017-01-27 15:36:47.081,14
Mark,2017-01-27 15:36:50.637,15,483,218
Mark,2017-01-27 15:36:51.974,15,515,226
Mark,2017-01-27 15:36:55.225,15,483,261
Mark,2017-01-27 15:36:57.069,15,516,267
Mark,2017-01-27 15:37:01.966,15,909,366
Mark,2017-01-27 15:37:02.718,15,916,377
Next,2017-01-27 15:37:06.421,15
Next,2017-01-27 15:37:08.854,16
Mark,2017-01-27 15:37:10.35,17,624,283
Mark,2017-01-27 15:37:11.289,17,630,287
Mark,2017-01-27 15:37:21.597,17,856,455
Mark,2017-01-27 15:37:22.59,17,864,461
Mark,2017-01-27 15:37:25.017,17,779,568
Mark,2017-01-27 15:37:26.165,17,803,579
Next,2017-01-27 15:37:29.253,17
Next,2017-01-27 15:37:30.283,18
Mark,2017-01-27 15:37:33.974,19,412,334
Mark,2017-01-27 15:37:34.877,19,462,345
Mark,2017-01-27 15:37:39.39,19,672,430
Mark,2017-01-27 15:37:40.214,19,688,439
Mark,2017-01-27 15:37:49.586,19,778,493
Mark,2017-01-27 15:37:50.786,19,785,500
Next,2017-01-27 15:37:51.637,19
Next,2017-01-27 15:37:52.409,20
Mark,2017-01-27 15:37:58.006,21,483,244
Mark,2017-01-27 15:37:58.784,21,510,251
Mark,2017-01-27 15:38:13.078,21,704,405
Mark,2017-01-27 15:38:13.888,21,714,411
Mark,2017-01-27 15:38:16.206,21,525,542
Mark,2017-01-27 15:38:16.861,21,529,547
Next,2017-01-27 15:38:18.59,21
Next,2017-01-27 15:38:20.238,22
Mark,2017-01-27 15:38:23.702,23,484,216
Mark,2017-01-27 15:38:24.72,23,506,221
Mark,2017-01-27 15:38:28.246,23,762,435
Mark,2017-01-27 15:38:28.888,23,767,442
Mark,2017-01-27 15:38:32.593,23,635,536
Mark,2017-01-27 15:38:33.126,23,641,542
Next,2017-01-27 15:38:35.205,23
